小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
万科天地,在售,大兴 - 大兴兴华大街与新源大街交汇处，地铁4号大兴线义和庄站A口北...,开间(6),2018.01.25,"均价45,000元/m²",200万元起
台湖银河湾,在售,通州 - 东五环化工桥京津高速2A出口南行1000米（环勃海总部基地）,一居(1)，三居(1),2018.03.16,"均价69,800元/m²",388-630万元
紫玉山庄,在售,[朝阳-亚奥]朝阳紫玉东路1号,四居(3),2018.03.16,"3,150万元/套起",
中海枫丹公馆,待售,朝阳 - 北京市朝阳区建外砖厂胡同54号院 建国门桥东南1000米,一居(1)，二居(1)，三居(1)，五居及以上(1),2018.01.22,"均价94,000元/m²","4,192万元"
一品嘉园,在售,[大兴-孙村]大兴南中轴路魏善庄中学北侧,一居(1)，二居(2)，三居(2),2018.03.15,"均价49,000元/m²",299-686万元
万泽经海广场,待售,大兴 - 大兴亦庄经海路与科创十二街的交汇处，地铁亦庄线经海路站A出口...,二居(1)，三居(1)，四居(1),2018.01.26,售价待定,总价待定
合生滨江帝景,在售,通州 - 项目位于通州东五环外，八通线临河里地铁站北约2公里处，属于通...,三居(2),2018.03.02,"均价75,000元/m²","743-1,028万元"
润泽御府,在售,朝阳 - 朝阳区水岸庄园（北五环顾家庄桥正北2600米）,四居(5),2018.02.01,"6,000万元/套",
中冶德贤公馆,在售,大兴 - 北京市大兴区德贤路(榴乡桥南800米) ,三居(2)，四居(1),2018.02.01,"最低89,000元/m²起","1,730-2,000万元"
京洲世家,在售,[通州-梨园]梨园镇京洲南街与怡乐中路交汇处,二居(3)，三居(1),2018.03.02,"均价65,000元/m²",897万元
融创千章墅,在售,通州 - 通州东北五环外温榆河墅区（伯爵园高尔夫西侧）,四居(1)，五居及以上(1),2018.03.02,"1,252-2,185万元/套",
盘古大观,在售,朝阳 - 朝阳北四环中路27号（水立方正西侧）,五居及以上(1),2017.10.30,"均价160,000元/m²","10,560万元"
北京经开·汀塘,未售,大兴 - 亦庄经济开发区科创十一街与经海九路交汇处,二居(1)，三居(3),2018.01.22,售价待定,总价待定
泰禾中国院子,待售,通州 - 通州通燕高速宋庄出口南行800米京杭大运河畔,五居及以上(2),2018.02.24,总价待定,
中粮瑞府,在售,[朝阳-孙河]朝阳区香江北路向北1000米,不限(1)，三居(1)，五居及以上(3),2018.01.26,"4,900万元/套起",
红廷别墅,在售,[朝阳-望京]朝阳五元桥东南角,三居(1)，四居(1)，五居及以上(1),2018.02.02,"6,900万元/套",
九章别墅,在售,[朝阳-孙河]朝阳东苇路3号,五居及以上(2),2018.01.26,"8,840万元/套起",
中南湾,待售,大兴 - 大兴南中轴路旧宫镇南小街路口东南角,二居(1)，三居(1),2018.01.04,售价待定,总价待定
8哩岛,在售,通州 - 通州朝阳北路东端与温榆河交汇处(北京物资学院北侧),四居(2),2018.02.24,"均价50,000元/m²","1,310万元"
首开保利熙悦诚郡,在售,大兴 - 大兴南四环榴乡桥与德贤路交汇处东南角800米处,二居(1)，三居(2)，四居(2),2018.01.22,"均价79,000元/m²","1,003-1,232万元"
首开万科翡翠四季（别墅）,在售,通州 - 通州东五环京津高速东石村桥东南700米京津高速第一出口500...,三居(1)，四居(3),2018.01.22,"950-1,300万元/套",
中国铁建花语金郡,在售,[大兴-瀛海]大兴南海子公园西侧,三居(2),2018.01.22,"均价73,000元/m²","1,059万元"
V7九间堂,在售,[通州-运河核心区]京哈高速北侧(耿庄桥出口),五居及以上(3),2018.02.01,"1,800万元/套起",
格拉斯小镇,在售,通州 - 通州温榆河畔，机场高速杨林出口东南方向6公里,五居及以上(4),2018.02.02,"3,500-6,256万元/套",
阳光城·京兆府,待售,[通州]潞西路与兴光二街交汇处,,2018.02.02,总价待定,
紫禁壹号院,在售,大兴 - 北京市亦庄核心生活区南海子公园北侧,四居(3)，五居及以上(1),2018.01.22,"4,000-6,972万元/套",
北京城建诚墅,待售,大兴 - 大兴亦庄经济开发区博兴西路与泰河二街交叉口东南角,四居(2),2018.02.02,总价待定,
首开龙湖天琅,在售,大兴 - 大兴亦庄南五环饮鹿池桥东约1公里,三居(1)，四居(1),2018.03.16,"1,250万元/套起",
中信墅,在售,大兴 - 大兴亦庄经济技术开发区三海子东路路口东北角，三海子公园北侧,四居(4)，五居及以上(1),2018.01.26,"1,899-2,028万元/套",
华远和墅,在售,大兴 - 大兴南六环磁各庄桥沿南中轴向南2公里,四居(2),2018.02.02,"1,900-1,906万元/套",
国锐金嵿,在售,大兴 - 大兴荣华中路与荣京西街交汇处西南角,一居(2)，二居(2)，三居(2)，四居(1),2018.01.26,"均价85,000元/m²","2,208万元"
鸿坤林语墅,在售,大兴 - 北京市大兴区大兴地铁四号线西红门站东800米,四居(2)，五居及以上(1),2018.02.01,"2,948-4,400万元/套",
