小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
旭辉嘉悦广场(公寓),在售,[北碚-蔡家]嘉瑞大道22号,不限(6),2017.08.22,"均价6,500元/m²",33万元
宗申金蓝湾(别墅),待售,[巴南-巴滨路]巴滨路888号,二居(8)，三居(2)，四居(1),2017.07.25,总价待定,
中交锦悦(别墅),待售,[巴南-龙洲湾]巴南区龙洲湾街道盛龙路1129号,二居(3)，三居(1),2017.08.07,总价待定,
依云江湾(别墅),在售,[巴南-龙洲湾]巴滨路777号,二居(1)，三居(1)，四居(1)，五居及以上(1),2017.07.28,总价待定,
东海定南山,在售,[巴南-南泉]重庆市巴南区西南大道115号,不限(3)，五居及以上(2),2017.08.16,售价待定,总价待定
斌鑫江南御府,待售,[巴南-李家沱]龙洲大道1788号,一居(2)，二居(5)，三居(5)，四居(2),2017.08.15,售价待定,总价待定
金辉耀江府(别墅),在售,[南岸-南滨路]金辉公园里,不限(5)，三居(1)，四居(3),2017.08.15,总价待定,
金隅大成时代都汇(公寓),待售,南岸 - 金成路1号（茶园管委会公交车站边）,一居(2)，二居(12)，三居(2),2017.08.09,售价待定,总价待定
皇庭珠宝城,待售,[九龙坡-盘龙]彩云大道10号（蟠龙小学对面）,一居(3)，二居(2)，三居(1),2017.08.01,售价待定,总价待定
保利金香槟,待售,[九龙坡-华岩新城]中梁山街道华美二路6号,二居(5)，三居(3),2017.11.28,"均价11,000元/m²",总价待定
春风与湖,待售,[九龙坡-高新区]13街道朝服村1号,二居(19)，三居(6)，四居(1),2017.08.21,售价待定,总价待定
鹏润悦秀城(公寓),待售,[九龙坡-石桥铺]石杨路中段,不限(2),2017.08.09,售价待定,总价待定
绿地城,在售,[大渡口-九宫庙]绿地路525号,一居(1)，二居(2)，三居(8)，四居(5)，五居及以上(2),2017.08.22,"均价11,000元/m²",77-128万元
金隅大成南山郡(别墅),在售,[南岸-南坪]南岸南山街道(重庆邮电大学附近),不限(2)，三居(2),2017.08.04,总价待定,
中国铁建万国城68號(别墅),待售,[南岸-茶园新区]梨花大道570号,三居(2)，四居(2)，五居及以上(1),2017.08.21,总价待定,
法蓝西莊邸蓝铂湾(别墅),在售,南岸 - 南岸米兰大道（内环高速在茶园下道第二个红绿灯前行150米）,不限(5)，三居(2)，四居(1),2017.07.28,总价待定,
鹏润鹿山台,待售,[渝北-中央公园]同茂大道中央公园东,一居(2)，二居(4)，三居(11)，四居(1),2018.02.08,"均价19,000元/m²",207万元
蓝光中央广场,在售,[大渡口-九宫庙]新山村街道湖榕路22号,二居(2)，三居(8)，五居及以上(1),2017.08.14,"均价16,000元/m²",102-149万元
天安数码城,在售,[大渡口-九宫庙]九宫庙街道思源路9号,三居(5)，四居(2),2017.08.22,"均价12,000元/m²",214-226万元
晋愉林畔神韵(公寓),售罄,大渡口 - 西城大道666号（绿岛中央公园内）,二居(1)，三居(3)，五居及以上(1),,售价待定,总价待定
高屋林语堂(别墅),在售,[南岸-黄桷桠]南山街道崇文路45号,不限(2),2017.08.04,总价待定,
武夷滨江,待售,[南岸-南滨路]南滨路110号,一居(1)，二居(1)，三居(7)，四居(3),2017.08.17,售价待定,总价待定
金辉御江六骏,待售,[南岸-铜元局]铜元道商业旁边,四居(2)，五居及以上(1),2017.08.17,售价待定,总价待定
